gene,folds_selected,ML_recurrence_group
GSTP1,1,1_of_3
GTF3A,1,1_of_3
H2AC6,1,1_of_3
H2AW,1,1_of_3
H3-3B,1,1_of_3
HAGH,1,1_of_3
HDGFL3,1,1_of_3
HDLBP,1,1_of_3
HES4,1,1_of_3
HID1,1,1_of_3
HLA-B,1,1_of_3
HLA-C,1,1_of_3
HMGA1,1,1_of_3
HMGCS1,1,1_of_3
HMGCS2,1,1_of_3
HOXB-AS3,1,1_of_3
HOXB3,1,1_of_3
HOXB6,1,1_of_3
HOXB7,1,1_of_3
HOXC10,1,1_of_3
HOXC6,1,1_of_3
HOXC8,1,1_of_3
HOXD-AS2,1,1_of_3
HOXD8,1,1_of_3
HSD17B11,1,1_of_3
HSP90AA1,1,1_of_3
HSPA8,1,1_of_3
HSPB1,1,1_of_3
HSPB8,1,1_of_3
HSPH1,1,1_of_3
IER5,1,1_of_3
IFI27,1,1_of_3
IFI27L1,1,1_of_3
IFI6,1,1_of_3
IFITM2,1,1_of_3
IRS2,1,1_of_3
IRX5,1,1_of_3
ISG20,1,1_of_3
ITGB6,1,1_of_3
JOSD2,1,1_of_3
JUND,1,1_of_3
KAZALD1,1,1_of_3
KCNK15,1,1_of_3
KCNK6,1,1_of_3
KCNQ1OT1,1,1_of_3
KCTD6,1,1_of_3
KLF2,1,1_of_3
KRT19,1,1_of_3
KRT8,1,1_of_3
LAPTM4B,1,1_of_3
LDLRAD4,1,1_of_3
LGALS12,1,1_of_3
LGALS3,1,1_of_3
LGALS3BP,1,1_of_3
LGR4,1,1_of_3
LIG3,1,1_of_3
LINC02802,1,1_of_3
LLGL2,1,1_of_3
LRP4,1,1_of_3
LRRC49,1,1_of_3
LRTM2,1,1_of_3
LY6E,1,1_of_3
MAD1L1,1,1_of_3
MAP1LC3B,1,1_of_3
MAP4K3-DT,1,1_of_3
MCF2L,1,1_of_3
MCRIP2,1,1_of_3
MCTS1,1,1_of_3
MED13L,1,1_of_3
METTL7A,1,1_of_3
MGLL,1,1_of_3
MGP,1,1_of_3
MGST1,1,1_of_3
MICOS10,1,1_of_3
MIEN1,1,1_of_3
MIF,1,1_of_3
MLF2,1,1_of_3
MRPL11,1,1_of_3
MRPL24,1,1_of_3
MRPL57,1,1_of_3
MRPS34,1,1_of_3
MSMB,1,1_of_3
MT-CO3,1,1_of_3
MT-CYB,1,1_of_3
MT-ND1,1,1_of_3
MT-ND2,1,1_of_3
MT-ND3,1,1_of_3
MT-ND4,1,1_of_3
MT-ND5,1,1_of_3
MT1F,1,1_of_3
MTARC1,1,1_of_3
MTARC2,1,1_of_3
