gene,detected_cells,detection_fraction,total_expression,mean_expression
NR1H3,231,0.06836342113051198,129.94197888798777,0.03845574989286409
TRRAP,230,0.06806747558449246,139.8396608699711,0.04138492479134984
URB1-AS1,230,0.06806747558449246,135.09482366540902,0.03998071135407192
SSX2IP,230,0.06806747558449246,130.55892830331774,0.03863833332445035
SP5,230,0.06806747558449246,156.19165127073362,0.04622422351900965
BCLAF3,230,0.06806747558449246,133.59346915806427,0.03953639217462689
ORC5,230,0.06806747558449246,141.7179179164606,0.041940786598538206
CACNG4,230,0.06806747558449246,150.56877900757482,0.04456015951689104
ZSCAN16,230,0.06806747558449246,134.0982159787213,0.03968576974806786
AC023043.1,230,0.06806747558449246,140.33397109054803,0.04153121369948151
KANK1,230,0.06806747558449246,136.73800577867277,0.04046700378179129
BBS7,229,0.06777153003847292,131.69772392119467,0.03897535481538759
MAPK7,229,0.06777153003847292,155.8900611863059,0.046134969276799616
DNAJC14,229,0.06777153003847292,138.21148255629475,0.04090307267129173
AFAP1,229,0.06777153003847292,130.85440228849035,0.03872577753432683
FZD1,229,0.06777153003847292,139.05150227625413,0.04115167276598228
LUCAT1,229,0.06777153003847292,214.53733641398512,0.06349136916661294
PARP4,229,0.06777153003847292,145.15351784832194,0.04295753709627758
SP140L,229,0.06777153003847292,154.66046135397855,0.04577107468303597
NR4A3,229,0.06777153003847292,205.19657485060043,0.060727012385498796
LINC01138,229,0.06777153003847292,140.15277719042697,0.04147759017177478
SPICE1,229,0.06777153003847292,137.26982394373542,0.040624392999033865
FAM83G,229,0.06777153003847292,146.8697100531883,0.04346543653542122
ANKS1A,229,0.06777153003847292,127.83219414398152,0.037831368494815484
CD109,229,0.06777153003847292,150.2442200151854,0.0444641077286728
RNFT1-DT,229,0.06777153003847292,147.16893504044327,0.04355399083765708
ARRB2,229,0.06777153003847292,138.2502522401208,0.040914546386540636
MSX2,229,0.06777153003847292,136.15804299811413,0.040295366380027856
PPP1R1A,229,0.06777153003847292,146.09247255906683,0.04323541656083659
RPP40,228,0.06747558449245339,138.06535884981807,0.04085982801119209
EREG,228,0.06747558449245339,256.3262835713728,0.07585862195068743
CNNM3,228,0.06747558449245339,133.2815918820924,0.03944409348389832
MTO1,228,0.06747558449245339,135.78279912176092,0.04018431462615002
QRSL1,228,0.06747558449245339,139.7350468914441,0.04135396475035339
SYCP2,228,0.06747558449245339,147.7042382387232,0.043712411434958034
ATAD2,228,0.06747558449245339,138.00419437982197,0.0408417266587221
RIIAD1,228,0.06747558449245339,157.13101332330658,0.046502223534568385
EMSY,228,0.06747558449245339,145.03720298954715,0.04292311423188729
RPGRIP1L,228,0.06747558449245339,144.93818914948764,0.04289381152692739
ABCB10,228,0.06747558449245339,133.9605092542464,0.03964501605630258
BTBD3,228,0.06747558449245339,120.03079313138055,0.03552257861242396
PRPF40B,227,0.06717963894643386,130.19705326121948,0.03853123801752574
RIPOR1,227,0.06717963894643386,130.23869616878113,0.038543562050541914
NPHP3,227,0.06717963894643386,138.46485085960663,0.0409780558921594
MMGT1,227,0.06717963894643386,126.70244884626925,0.037497025405821026
NELL2,227,0.06717963894643386,250.53460046812694,0.07414459913232523
VLDLR,227,0.06717963894643386,153.00163020856428,0.04528015099395214
SMARCD3,227,0.06717963894643386,127.82685313681031,0.03782978784753191
BBS2,227,0.06717963894643386,136.55954337769518,0.04041418862909002
BTBD6,227,0.06717963894643386,134.51887226493704,0.03981026110237853
COLEC12,227,0.06717963894643386,178.2054880764016,0.05273912047244794
POLR3F,227,0.06717963894643386,124.61070992199171,0.036877984587745403
POGLUT1,227,0.06717963894643386,139.89225082449,0.041400488554155075
GCNT2,227,0.06717963894643386,136.22123823172788,0.04031406872794551
FGGY,227,0.06717963894643386,135.30065828061063,0.040041627191657485
EFL1,227,0.06717963894643386,140.0650605707796,0.04145163082887825
CHUK,226,0.06688369340041432,128.74024977686364,0.03810010351490489
BRF2,226,0.06688369340041432,129.35086957550618,0.038280813724624496
