"gene","sample_id","expressing_fraction","mean_expression"
"GABARAPL2","BC11",0.902877697841727,1.23438375448478
"GABARAPL2","BC12",0.931578947368421,1.02152040770021
"GABARAPL2","BC17",0.729805013927577,0.824006601076017
"COX5B","BC11",0.985611510791367,1.95176004627764
"COX5B","BC12",0.984210526315789,1.54652735951465
"COX5B","BC17",0.988857938718663,2.43031996184831
"CMBL","BC11",0.532374100719424,0.439469283871524
"CMBL","BC12",0.436842105263158,0.239775574653523
"CMBL","BC17",0.749303621169916,0.885900877955668
"TNNT1","BC11",0.723021582733813,0.869562784376601
"TNNT1","BC12",0.907894736842105,0.980180200700651
"TNNT1","BC17",0.487465181058496,0.508256875452841
"SLC27A2","BC11",0,0
"SLC27A2","BC12",0.00789473684210526,0.0035837856610862
"SLC27A2","BC17",0.922005571030641,1.82437190819981
"NQO1","BC11",0.877697841726619,1.07155613165791
"NQO1","BC12",0.857894736842105,0.809916451745158
"NQO1","BC17",0.47075208913649,0.409951287110999
"BEX3","BC11",0.931654676258993,1.56389336828371
"BEX3","BC12",0.873684210526316,1.01250946855889
"BEX3","BC17",0.754874651810585,0.936698519061952
"NDUFAF3","BC11",0.766187050359712,0.804627166368508
"NDUFAF3","BC12",0.921052631578947,1.06320724441783
"NDUFAF3","BC17",0.713091922005571,0.728906031266169
"CLDN3","BC11",0.859712230215827,1.09231062324364
"CLDN3","BC12",0.957894736842105,1.67406035054116
"CLDN3","BC17",0.98050139275766,1.95062971216698
"PXMP2","BC11",0.482014388489209,0.368200888645314
"PXMP2","BC12",0.610526315789474,0.371510244816366
"PXMP2","BC17",0.479108635097493,0.420810897776124
"RBBP7","BC11",0.510791366906475,0.401480884005623
"RBBP7","BC12",0.881578947368421,1.00332883653915
"RBBP7","BC17",0.590529247910863,0.553691746654029
"DCAF6","BC11",0.81294964028777,0.918498678394561
"DCAF6","BC12",0.492105263157895,0.273583198765377
"DCAF6","BC17",0.852367688022284,1.25523297728383
"H2BC5","BC11",0.802158273381295,1.01822569922256
"H2BC5","BC12",0.921052631578947,1.19212074484407
"H2BC5","BC17",0.62116991643454,0.6623938899663
"ATP5PD","BC11",0.949640287769784,1.61052235234719
"ATP5PD","BC12",0.918421052631579,1.16842268838466
"ATP5PD","BC17",0.927576601671309,1.48863468394302
"ESR1","BC11",0.805755395683453,0.913531139997079
"ESR1","BC12",0.410526315789474,0.224006251714681
"ESR1","BC17",0.693593314763231,0.756679887142376
"HPN","BC11",0.399280575539568,0.310434420612757
"HPN","BC12",0.589473684210526,0.342280983332962
"HPN","BC17",0.593314763231198,0.5602950041367
"PEBP1","BC11",0.989208633093525,1.81113665217775
"PEBP1","BC12",0.960526315789474,1.59436211680195
"PEBP1","BC17",0.98050139275766,2.10952126519621
