"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
64,"TBC1D9",0.666814329834952,"Tier_2_Strong_Robust_Candidate",0.748367948858305,0.748367948858305,1.29734359086644,1.29734359086644,0.765,0.349,0.416,0.769635597781854,0.626740947075209,0.845323741007194,"Consistent_3_of_3",1,0.416,0.765,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
65,"PAFAH1B3",0.666647890556655,"Tier_2_Strong_Robust_Candidate",0.679224754734395,0.679224754734395,0.707398037875157,0.707398037875157,0.856,0.508,0.348,0.848663335861145,0.76978417266187,0.921052631578947,"Consistent_3_of_3",1,0.348,0.856,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
66,"ATP5MC1",0.666642306339773,"Tier_2_Strong_Robust_Candidate",0.675953717079961,0.675953717079961,0.830029736639687,0.830029736639687,0.871,0.631,0.24,0.879616096010452,0.807799442896936,0.97841726618705,"Consistent_3_of_3",1,0.24,0.871,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
67,"SELENOP",0.666280589836808,"Tier_2_Strong_Robust_Candidate",0.750933677862371,0.750933677862371,1.35146942289897,1.35146942289897,0.789,0.418,0.371,0.770743264646456,0.571942446043165,0.871866295264624,"Consistent_3_of_3",1,0.371,0.789,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
68,"NDUFA7",0.665890917795199,"Tier_2_Strong_Robust_Candidate",0.662635773493152,0.662635773493152,0.651486187945216,0.651486187945216,0.868,0.58,0.288,0.872488035081391,0.839473684210526,0.91726618705036,"Consistent_3_of_3",1,0.288,0.868,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
69,"PRKAR1A",0.664919814987304,"Tier_2_Strong_Robust_Candidate",0.710152643405642,0.710152643405642,1.11322114724514,1.11322114724514,0.777,0.449,0.328,0.793413783853433,0.660526315789474,0.967625899280576,"Consistent_3_of_3",1,0.328,0.777,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
70,"RBBP7",0.663626237525903,"Tier_2_Strong_Robust_Candidate",0.734258862745949,0.734258862745949,1.40847090196759,1.40847090196759,0.677,0.313,0.364,0.660966520728586,0.510791366906475,0.881578947368421,"Consistent_3_of_3",1,0.364,0.677,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
71,"SCD",0.662744454338693,"Tier_2_Strong_Robust_Candidate",0.747879036238214,0.747879036238214,1.59103228990571,1.59103228990571,0.647,0.299,0.348,0.657431328064656,0.267409470752089,0.863157894736842,"Consistent_3_of_3",1,0.348,0.647,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
72,"MORF4L2",0.662431337991068,"Tier_2_Strong_Robust_Candidate",0.681278134024389,0.681278134024389,0.827825072195108,0.827825072195108,0.944,0.749,0.195,0.941300722799564,0.913669064748201,0.963157894736842,"Consistent_3_of_3",1,0.195,0.944,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
73,"ATP6AP1",0.662220983587066,"Tier_2_Strong_Robust_Candidate",0.704448148438674,0.704448148438674,1.05798518750939,1.05798518750939,0.768,0.425,0.343,0.768400415278392,0.696378830083565,0.821052631578947,"Consistent_3_of_3",1,0.343,0.768,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
