"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
388,"CLTC",0.539719493715203,"Tier_3_Exploratory_Robust",0.590313208772378,0.590313208772378,0.669705670179023,0.669705670179023,0.562,0.341,0.221,0.580080418878502,0.373259052924791,0.798561151079137,"Consistent_3_of_3",1,0.221,0.562,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
389,"NFU1",0.539627294373041,"Tier_3_Exploratory_Robust",0.614331343601693,0.614331343601693,0.953050748813541,0.953050748813541,0.466,0.206,0.26,0.46650209520113,0.394736842105263,0.551532033426184,"Consistent_3_of_3",1,0.26,0.466,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
390,"MEA1",0.539529394160152,"Tier_3_Exploratory_Robust",0.610983645321281,0.610983645321281,0.683069162570246,0.683069162570246,0.645,0.412,0.233,0.630013391427307,0.496402877697842,0.842105263157895,"Consistent_3_of_3",1,0.233,0.645,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
391,"COMTD1",0.539437262903155,"Tier_3_Exploratory_Robust",0.647139776699815,0.647139776699815,1.11631821359852,1.11631821359852,0.514,0.24,0.274,0.512227245032884,0.485611510791367,0.543175487465181,"Consistent_3_of_3",1,0.274,0.514,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
392,"CLPTM1",0.539137522225125,"Tier_3_Exploratory_Robust",0.635998765865343,0.635998765865343,0.979190126922748,0.979190126922748,0.541,0.264,0.277,0.521106457452422,0.320143884892086,0.7,"Consistent_3_of_3",1,0.277,0.541,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
393,"EBP",0.538949184922537,"Tier_3_Exploratory_Robust",0.605041143259988,0.605041143259988,0.845129146079902,0.845129146079902,0.492,0.237,0.255,0.483091380582676,0.384892086330935,0.545961002785515,"Consistent_3_of_3",1,0.255,0.492,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
394,"RNF13",0.538430479461962,"Tier_3_Exploratory_Robust",0.608902245182548,0.608902245182548,0.895217961460383,0.895217961460383,0.475,0.215,0.26,0.463103998548705,0.359712230215827,0.636842105263158,"Consistent_3_of_3",1,0.26,0.475,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
395,"FLYWCH2",0.538283179948673,"Tier_3_Exploratory_Robust",0.61026585459579,0.61026585459579,0.909326836766321,0.909326836766321,0.463,0.193,0.27,0.444671449469951,0.266187050359712,0.65,"Consistent_3_of_3",1,0.27,0.463,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
396,"IRF2BPL",0.538029051389461,"Tier_3_Exploratory_Robust",0.676563772112108,0.676563772112108,1.48451017689686,1.48451017689686,0.41,0.115,0.295,0.400904053183197,0.294964028776978,0.473537604456825,"Consistent_3_of_3",1,0.295,0.41,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
397,"MGMT",0.537846946259544,"Tier_3_Exploratory_Robust",0.600598611624351,0.600598611624351,0.542388892994809,0.542388892994809,0.618,0.322,0.296,0.62305129067835,0.568245125348189,0.679856115107914,"Consistent_3_of_3",1,0.296,0.618,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
