gene,coefficient,test_sample,selected_C
ECI1,0.0406687197069382,BC11,0.01
TP53TG1,0.0024809606444493163,BC11,0.01
RPP21,-0.0194889000678128,BC11,0.01
VAV3,0.03905077140944777,BC11,0.01
UHMK1,-0.02298719824725019,BC11,0.01
DEK,0.009080082502638467,BC11,0.01
TXN2,-0.03821449588421035,BC11,0.01
ARMCX3,-0.028447953515169447,BC11,0.01
COX11,0.027046589312585443,BC11,0.01
ZDHHC24,0.026601112459548416,BC11,0.01
TCEAL3,-0.042472424632517575,BC11,0.01
ARL3,-0.0238731198618838,BC11,0.01
RCN2,-0.028679001709492988,BC11,0.01
TMEM208,-0.003538746043995872,BC11,0.01
MCTS1,0.006220891012637273,BC11,0.01
NUDT4,0.005103427872757724,BC11,0.01
RNASEH2C,0.01690535613157126,BC11,0.01
POLE4,-0.04336721676744672,BC11,0.01
IRX3,-0.010412330480409137,BC11,0.01
STRBP,0.04920912026408819,BC11,0.01
IDH1,0.0010137419153016943,BC11,0.01
HTATIP2,-0.03293310837919011,BC11,0.01
MED13L,0.03510546050998106,BC11,0.01
BCAM,-0.0369018249347201,BC11,0.01
EPHX1,0.003456943814356501,BC11,0.01
PLD3,0.012607938966277791,BC11,0.01
SIAH2,0.04238995498817182,BC11,0.01
PPP1CC,0.015086239339647662,BC11,0.01
TMEM9,-0.05231230918964239,BC11,0.01
PIN1,-0.015269387234798733,BC11,0.01
SLC35B1,-0.031293406712530204,BC11,0.01
ANAPC13,-0.012258985684427386,BC11,0.01
ERBB3,-0.039423531368958376,BC11,0.01
GRAMD1A,-0.0038503178286655184,BC11,0.01
CORO1B,0.07357869504290272,BC11,0.01
SEZ6L2,-0.01908485044789717,BC11,0.01
GRINA,-0.013908243459253497,BC11,0.01
SQLE,-0.017492594701587472,BC11,0.01
C20orf27,0.050867425757566274,BC11,0.01
SRSF6,0.002870229370382684,BC11,0.01
SPOP,-0.012978892225705764,BC11,0.01
MRPL34,-0.03528957822508968,BC11,0.01
TXNIP,0.0012503949446237472,BC11,0.01
GRN,0.04811135714155922,BC11,0.01
C7orf50,0.01944902869971754,BC11,0.01
ABHD12,0.03385819491966213,BC11,0.01
EGLN2,-0.00045810301566415136,BC11,0.01
TAF15,0.01073614472460032,BC11,0.01
SH3YL1,-0.032927120738988486,BC11,0.01
ATG101,-0.026780052571212052,BC11,0.01
TLE5,-0.05240199285196527,BC11,0.01
PTPMT1,0.0668174539296978,BC11,0.01
NINJ1,-0.009621355504597898,BC11,0.01
MRPS18B,0.005523060342095761,BC11,0.01
ADI1,-0.03571837231623292,BC11,0.01
TRPS1,-0.026622528484295728,BC11,0.01
ZMAT2,0.04015047986692334,BC11,0.01
METRN,0.019726292690428388,BC11,0.01
NECAB3,0.0201994295078001,BC11,0.01
TERF2IP,0.0060869074741046695,BC11,0.01
METTL5,-0.005076158108566924,BC11,0.01
SUSD3,0.15862405496086832,BC11,0.01
SRPRB,0.021464016461827336,BC11,0.01
CTSH,-0.012966015797617653,BC11,0.01
VDAC3,-0.025012270148630087,BC11,0.01
SURF1,-0.013193975896070192,BC11,0.01
OCEL1,0.07887415214501549,BC11,0.01
SEC61A1,0.014128461617494037,BC11,0.01
COQ4,-0.01819735014676929,BC11,0.01
THSD4,-0.07472381834029579,BC11,0.01
CNPY3,0.04696465646747132,BC11,0.01
DCTN3,-0.017941503436089204,BC11,0.01
RNF5,-0.016139867543839153,BC11,0.01
CDS2,0.02199952493423146,BC11,0.01
PIGP,-0.01681441313986102,BC11,0.01
SNRPN,-0.05208693185373386,BC11,0.01
RPN1,0.004384909778404014,BC11,0.01
FAM120AOS,0.03852750347852486,BC11,0.01
TIMMDC1,-0.021584863661792474,BC11,0.01
ZBTB20,-0.00035345608038688653,BC11,0.01
GPAA1,0.023257058063188153,BC11,0.01
RAP1A,-0.022322247760486292,BC11,0.01
TIMM17B,-0.014206314430548704,BC11,0.01
USF2,0.004808188790543483,BC11,0.01
WBP1,-0.05633182278258173,BC11,0.01
