"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.48087213075172e-64,0.785943262658206,0.362,0.164,9.08644226609124e-60,"6","CMC2"
2.50200256604219e-64,0.626187511483239,0.653,0.395,9.16383459838612e-60,"6","RTN3"
2.78639781265339e-64,0.650297278923609,0.757,0.481,1.02054606286243e-59,"6","SLIRP"
3.63970504503901e-64,0.641981164627754,0.582,0.329,1.33307836979599e-59,"6","TMEM9"
4.50015052225789e-64,0.602871817036029,0.438,0.216,1.64822513028217e-59,"6","RFC1"
5.1569544150608e-64,0.576899884822732,0.524,0.274,1.88878612406017e-59,"6","ABHD11"
5.85428224323938e-64,0.672824225154637,0.656,0.411,2.14418941440886e-59,"6","CCND1"
6.97417522323745e-64,0.901452225454963,0.381,0.179,2.55436141726295e-59,"6","ESRP1"
7.00472714136317e-64,0.58376576828179,0.387,0.179,2.56555136279568e-59,"6","XPO1"
8.31240230394508e-64,0.612960460900651,0.636,0.375,3.04450046784292e-59,"6","CHCHD5"
1.12433467400971e-63,0.55591061443923,0.898,0.715,4.11798817702796e-59,"6","UBL5"
1.17393810345667e-63,0.679243146359327,0.555,0.314,4.29966569772041e-59,"6","PIH1D1"
1.21660890578086e-63,0.636692564354416,0.423,0.205,4.45595177831298e-59,"6","FAM136A"
1.4511882847794e-63,0.707537658336119,0.589,0.331,5.31512221183303e-59,"6","MRPS33"
1.46404571379739e-63,0.781470982346435,0.365,0.167,5.36221383135433e-59,"6","S100A1"
1.91517710455585e-63,0.762734034666812,0.451,0.225,7.01452766314625e-59,"6","NR2F6"
2.40556672918323e-63,0.928944000169148,0.476,0.259,8.8106287023065e-59,"6","ETFB"
2.75777131109559e-63,0.933461287911927,0.298,0.122,1.01006132040187e-58,"6","CSTF3"
3.11171689975532e-63,0.585372273954315,0.626,0.365,1.13969743170438e-58,"6","COA3"
3.98609298603961e-63,0.798377699650915,0.401,0.19,1.45994641706687e-58,"6","GANAB"
6.25433971517829e-63,0.64976333356995,0.374,0.172,2.2907144640812e-58,"6","SUZ12"
6.30817724398369e-63,0.648351840152714,0.577,0.323,2.31043299738147e-58,"6","PSMC3"
6.3781092367702e-63,0.692196415041839,0.533,0.286,2.33604628905945e-58,"6","TP53TG1"
9.03856631766491e-63,0.772103331824287,0.441,0.221,3.31046529950795e-58,"6","BOLA1"
1.1811325618037e-62,0.905411274750676,0.286,0.115,4.32601612086224e-58,"6","VKORC1L1"
2.35173156459729e-62,0.575246299136044,0.722,0.454,8.61345202849402e-58,"6","PSME2"
3.68894968374507e-62,0.554589387048946,0.932,0.752,1.35111471116847e-57,"6","SUB1"
4.45353992453647e-62,0.675754954165091,0.713,0.459,1.63115353276073e-57,"6","STUB1"
5.02701585157331e-62,0.556475133874498,0.496,0.256,1.84119482579724e-57,"6","TRAPPC2L"
5.31294373364016e-62,0.70829447617245,0.456,0.231,1.94591877188304e-57,"6","GFER"
5.56467222929072e-62,0.456007846708552,0.257,0.098,2.03811685070002e-57,"6","FKBP5"
6.44272677754168e-62,0.511220976771439,0.747,0.515,2.35971310954241e-57,"6","MRPS24"
8.13035787707918e-62,0.652878589665888,0.514,0.278,2.97782487605902e-57,"6","AP1M2"
8.89837436383698e-62,0.719679375283584,0.68,0.42,3.25911859449893e-57,"6","ROMO1"
9.74798782298857e-62,0.768336390383124,0.35,0.155,3.57029802004779e-57,"6","ENOSF1"
1.03396057260037e-61,0.89667268401296,0.331,0.146,3.7869839932061e-57,"6","APEH"
1.08475107439044e-61,0.71158948292095,0.485,0.254,3.97300928506243e-57,"6","PSMG3"
1.13117146203171e-61,0.509770319412534,0.515,0.267,4.14302859683733e-57,"6","SUSD3"
1.3800874768579e-61,0.593201679533964,0.401,0.19,5.05470839273976e-57,"6","POLE3"
1.44681510166227e-61,0.661672106472624,0.451,0.227,5.29910499134824e-57,"6","RAB1B"
1.55918430977331e-61,0.852470798242201,0.352,0.16,5.71066845297571e-57,"6","SLC25A1"
1.5793137505908e-61,0.821592567467066,0.505,0.281,5.78439454291387e-57,"6","GPAA1"
